datacenter_id;datacenter_name;datacenter_storage_energy;storage_id;system;storage_capacity;capacity_used;active_duration;idle_intervals;total_energy_active;total_energy_idle;average_rotation_latency;average_seek_Time;max_internal_data_transfer_rate;idle_power;active_power;files;
3;datacenter;75010.80926411285;13;storage;900000.0;17920.0;90.56424650818003;1.000001640589965:;525.2726297474442;3.0000049217698948;0.003;0.004;198.0;3.0;5.8;23-240840,3072,15.518148264264504:32082,2560,12.939834909453136:5-31882,512,2.5882736063937397:1-817779,3072,15.521566273179463:304177,3584,18.112422913904176:55818,3072,15.521276184685611:1-878245,1024,5.181436830601567:1-270748,1024,5.1799508543763135:;
3;datacenter;75010.80926411285;14;storage;900000.0;17408.0;93.16160237194386;1.00000177271104:;540.3372937572743;3.0000053181331197;0.003;0.004;198.0;3.0;5.8;305026,1536,7.762248403826698:838506,6656,33.621779308221136:5-146150,512,2.5978758199438543:269750,1024,5.175472519294324:2-878249,1024,5.17401309217789:20-240840,3072,15.517893602907321:146550,2560,12.944470099089644:2-1002247,1024,5.178465474035932:;
3;datacenter;75010.80926411285;15;storage;900000.0;16896.0;85.3881070357585;1.0000018953714096:;495.2510208073993;3.000005686114229;0.003;0.004;198.0;3.0;5.8;1-270734,1024,5.179278248648216:304553,3584,18.10285699702544:1-55596,3072,15.529584456261901:1-7000,2048,10.348548053157828:1-55668,3072,15.522138769306071:1-838506,512,2.59373518778433:5-361644,3072,15.519030718893147:18055,512,2.5946513314988278:;
3;datacenter;75010.80926411285;16;storage;900000.0;14848.0;85.4118980171554;1.0000019713997261:;495.38900849950136;3.0000059141991784;0.003;0.004;198.0;3.0;5.8;304539,3584,18.10818386242917:760113,512,2.5977093458825644:2-760113,512,2.591502171428248:572102,2048,10.349721849222423:5-367002,512,2.598643236762502:3-31882,512,2.5888683662418965:304118,3584,18.1041144420925:303651,3584,18.10754329837539:;
3;datacenter;75010.80926411285;17;storage;900000.0;20992.0;106.08248276000344;1.0000019949295607:;615.27840000802;3.000005984788682;0.003;0.004;198.0;3.0;5.8;304406,3584,18.104987402392602:33-240840,3072,15.525999199413132:2-240840,3072,15.522566118652362:20697,512,2.5966155087466882:5-840815,512,2.5896483659338707:304897,3584,18.106159762790757:303581,3584,18.107362066315257:1-240840,3072,15.525740638077009:;
3;datacenter;75010.80926411285;18;storage;900000.0;63488.0;336.22106171322287;1.0000023348388782:;1950.082157936693;3.0000070045166347;0.003;0.004;198.0;3.0;5.8;1-270752,1024,5.175393704063639:6-146150,2560,12.943652136920278:2-1002261,1024,5.1777315924981835:1-591393,3072,15.520986453328039:55608,3072,15.52104465512559:303686,12288,62.07003946364529:304759,28160,142.22685831126321:840315,12288,62.06424024145602:;
3;datacenter;75010.80926411285;19;storage;900000.0;19456.0;98.33731587714486;1.0000024180405327:;570.3564320874401;3.000007254121598;0.003;0.004;198.0;3.0;5.8;878231,1024,5.180080597684476:270738,1024,5.175881778763338:55932,3072,15.518283613922282:1-55662,3072,15.518149971900238:1-31682,512,2.596522992226793:55740,3072,15.519378318027243:304821,1536,7.764614001118098:327183,6144,31.03273772399741:;
3;datacenter;75010.80926411285;20;storage;900000.0;14336.0;87.97964912817433;1.0000025295018062:;510.2819649434112;3.0000075885054187;0.003;0.004;198.0;3.0;5.8;1-841315,512,2.599289549059782:878233,1024,5.175312357913635:1-285602,512,2.592990883483656:1-7004,2048,10.347600202863639:1-269744,1024,5.186745838184718:55728,3072,15.52166235454717:3-591393,3072,15.522505803472036:55848,3072,15.523476688751538:;
3;datacenter;75010.80926411285;21;storage;900000.0;30720.0;157.80328838330493;1.0000025321758343:;915.2590726231684;3.000007596527503;0.003;0.004;198.0;3.0;5.8;206100,3072,15.521841938010285:303835,3584,18.117750919775602:304525,3584,18.10184525369329:20403,512,2.5915707877856167:2-840815,12288,62.06724848441477:304848,3584,18.1133067670807:19958,512,2.5895356380392163:305043,3584,18.108114596240874:;
3;datacenter;75010.80926411285;22;storage;900000.0;17408.0;93.14651856873175;1.0000027887473217:;540.2498076986442;3.000008366241965;0.003;0.004;198.0;3.0;5.8;269742,1024,5.17564486729677:1-591405,3072,15.523900191230243:62930,3072,15.529441837565535:304728,1536,7.762447306340809:304725,1536,7.762510067306953:1-206064,3072,15.5210394997156:205538,1024,5.1856486826087425:25-240840,3072,15.518432996057856:;
